Country Name,Country Code,Series Name,Series Code,2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
United States,USA,Final consumption expenditure (current US$),NE.CON.TOTL.CD,9487128000000,10083880000000,10731093000000,11350189000000,11945126000000,12403523000000,12324647000000,12771302000000,13210168000000,13562803000000,13896173000000,14413979000000,14872459000000,15356374000000,15960169000000,16771912000000,17401500000000,17254541000000,19256306000000,..
Netherlands,NLD,Exports of goods and services (current US$),NE.EXP.GNFS.CD,343889726621.568,412634739877.221,449808302518.288,500418911117.646,583600256785.492,664344657500.781,542407172566.015,591502959466.668,683507099348.25,666972343230.469,700689843247.453,718890300914.899,632814005706.64,623603755002.725,695378637220.001,774043642951.372,751253595615.685,712054191887.94,866013099701.536,946333742192.611
Netherlands,NLD,Imports of goods and services (current US$),NE.IMP.GNFS.CD,305325075371.764,361677037575.291,391844892638.132,437371527391.764,523411602259.217,583175133935.937,476307038810.937,522989922133.334,606248014990.274,585275201163.281,611116250210.59,619841267938.821,575386728000.781,543538132141.636,605693248620.001,677669488269.803,662011326643.136,620445495165.76,750130569600.763,837392701431.91
Netherlands,NLD,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,2.17027931585601,1.20404059769723,1.98873995492572,2.56110638417375,2.07220572994835,2.30632549844012,0.220701610642962,0.940413731811219,0.193652086824386,1.44610956661077,1.27998705426134,0.253185732004795,0.772727976651382,0.454667288773308,1.26070715808579,2.43709074520527,3.03273379248688,1.92857201636885,2.92451387658699,5.53522393876365
Netherlands,NLD,GDP per capita (current US$),NY.GDP.PCAP.CD,35750.9746630269,40436.6182310407,41994.7135305232,44900.9381441374,51799.2085521047,57879.9437553916,52722.2130568997,50999.7451168879,54230.3129029852,50070.1416045904,52198.8975607454,52900.537415323,45193.4032187971,46039.1059284098,48675.2223350213,53044.5324352253,52476.2732533327,52162.5701150406,58727.8705471475,57025.01245598
Netherlands,NLD,Final consumption expenditure (current US$),NE.CON.TOTL.CD,422660342850.195,473630733874.133,487203167925.292,516603579952.94,590236111451.374,658139540178.125,624829050221.875,607513639650.001,646598013861.869,600140206096.875,625234144967.453,633308280389.41,536083343363.281,543359920740.468,572468195538.824,626107833417.254,619831766062.744,620245610846.694,692079309701.539,686138060293.777
China,CHN,Exports of goods and services (current US$),NE.EXP.GNFS.CD,447956251319.218,607356860744.082,773337401021.288,991726661343.522,1258051504103.92,1497878483247.81,1262661203708,1654823329619.55,2006308960930.04,2175069254743.06,2354264539544.64,2462825804916.27,2362097053242.49,2199974853555.09,2424216052068.76,2655609176117.68,2628941104614.18,2729884575149.4,3554107781003.96,3714245280576.77
China,CHN,Imports of goods and services (current US$),NE.IMP.GNFS.CD,412135282380.482,556182484386.992,648710862055.896,782808732513.69,950016771030.262,1149043691028.78,1042531317913.17,1432422435977.06,1825413639268.27,1943205232835.47,2119392421395.41,2241276198946.71,2003260696084.73,1944490534245.13,2208518918647,2564121911010,2496153305873.95,2374737462806.67,3093278397264.68,3137594161662.83
China,CHN,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,2.60317771538053,6.95199268014868,3.90374426938611,3.92654939808963,7.74968649156058,7.79534603755035,-0.209533359181677,6.88138025142841,8.07568446703404,2.33121757511319,2.16337002698883,1.03106368733947,-0.00294409357314862,1.40734602711936,4.23268197592985,3.49974763599464,1.28670040643908,0.492493917873077,4.55232657954579,2.24897445406873
China,CHN,GDP per capita (current US$),NY.GDP.PCAP.CD,1288.63749136212,1508.66791563578,1753.41419162417,2099.2194300786,2693.95873162278,3468.32706308591,3832.22745696438,4550.47394361131,5614.3860223103,6300.58217952904,7020.38607424065,7636.0743401587,8016.44559491162,8094.39016730811,8817.04560829162,9905.40638307759,10143.8602205959,10408.7195541075,12617.5051041181,12720.2163182363
China,CHN,Final consumption expenditure (current US$),NE.CON.TOTL.CD,963327882743.547,1080060188604.27,1243209476518.91,1446857456469.84,1810535382302.7,2286761969330.76,2554940793533.87,2977450114463.69,3787801956709.17,4363582575887.55,4949574614276.41,5502316032043.32,5972241552092.67,6182674057916.96,6754472181341.09,7650215136071.77,7999434588112.85,8126794319529.99,9609095366162.84,9523793564853.31
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 12/18/2023,,,,,,,,,,,,,,,,,,,,,,,
